PRO_REFERENCIA;PRO_DESCRICAO;PRO_MARCA;PRO_PRECO;PRO_UNIDADE;PRO_REFERENCIAFOR;PRO_PESO;PRO_CLASSIFICACAO;PRO_BARRA;PRO_ESTOQUE
00216;COPO MULTIUSO FLORIDA 300ML CX-24;CIV;47,280000;CX/24;TW392-30 - 10028075;5,016000;7013.37.00;7891017002926;13.752,000000
00284;CANECA MANHATTAN 370ML CX-12;CISPER;83,880000;CX/12;TW727-40 - 10025245;6,500000;7013.37.00;7891017013823;,000000
00293;COPO BELLIZE CRISTAL LONG DRINK 450ML CX-12;CISPER;42,960000;CX/12;TW885-40 - 10027901;2,700000;7013.37.00;7891017015148;14.030,000000
00294;COPO BELLIZE CRISTAL ROCKS 345ML CX-12;CISPER;53,280000;CX/12;TW884-40 - 10027903;2,580000;7013.37.00;7891017015131;761,000000
00295;COPO ROMA LONG DRINK 335ML CX-12;CISPER;71,493000;CX/12;TW903-40 - 10027878;3,564000;7013.37.00;7891017013038;444,000000
00296;COPO ROMA ROCKS 259ML CX-12;CISPER;85,680000;CX/12;TW902-40 - 10027880;3,888000;7013.37.00;7891017013021;205,000000
00301;COPO AMERICANO 190ML;NADIR FIGUEIRED;20,160000;CX/24;102010188;2,472000;7013.37.00;7891550036631;341.111,000000
00309;COPO BAR APERITIVO CANINHA 100ML CX-24;NADIR FIGUEIRED;65,507300;CX/24;30330100636480;3,480000;7013.37.00;7891155002536;5.448,000000
00342;JARRA LISA CRISTAL 1,5 LTS CX-06;CIV;50,400000;CX/06;TW151-50 - 10030599;5,202000;7013.42.90;7891017008522;260,000000
00348;TIGELA P/ MISTURAR PLUS ASTRAL 3LTS CX-06;NADIR FIGUEIRED;144,960000;CX/06;SM400030803;6,378000;7013.49.00;7894993031232;2.695,000000
00351;ASSADEIRA RETANGULAR GRANDE 2,9 LTS CX-06;NADIR FIGUEIRED;170,940000;CX/06;GD16536417N;10,932000;7013.49.00;049932653649;816,000000
00352;ASSADEIRA RETANGULAR MEDIA 2,2 LTS CX-06;NADIR FIGUEIRED;161,400000;CX/06;GD16534019N;8,142000;7013.49.00;049932653441;944,000000
00353;ASSADEIRA RETANGULAR PEQUENA 1,6 LTS CX-06;NADIR FIGUEIRED;136,168200;CX/06;GD16532011N;5,826000;7013.49.00;049932653243;5.628,000000
00354;ASSADEIRA QUADRADA 1,8 LTS  CX-06;NADIR FIGUEIRED;115,200000;CX/06;GD16222010N;6,426000;7013.49.00;049932622249;6.000,000000
00355;ASSADEIRA OVAL GRANDE 4 LTS CX-06;NADIR FIGUEIRED;216,120000;CX/06;GD16664419N;11,406000;7013.49.00;049932666441;211,000000
00356;ASSADEIRA OVAL MEDIA 3,2 LTS CX-06;NADIR FIGUEIRED;173,160000;CX/06;GD16662010N;8,850000;7013.49.00;049932666243;414,000000
00357;ASSADEIRA OVAL 2,4 LTS CX-06;NADIR FIGUEIRED;152,820000;CX/06;GD16345016N;6,360000;7013.49.00;049932634549;1.307,000000
00398;ASSADEIRA QUADRADA PEQUENA 1,1LTS CX-06;NADIR FIGUEIRED;94,800000;CX/06;GD16221418N;3,960000;7013.49.00;049932622195;1.344,000000
00399;ASSADEIRA QUADRADA MEDIA C/ TAMPA 1,8LTS CX-06;NADIR FIGUEIRED;203,760000;CX/06;GD16222253N;6,882000;7013.49.00;049932622263;462,000000
00400;ASSADEIRA RETANGULAR PEQUENA C/ TAMPA 1,6LTS CX-6;NADIR FIGUEIRED;199,020400;CX/06;GD16532254N;6,156000;7013.49.00;049932653229;330,000000
00401;ASSADEIRA RETANGULAR MEDIA C/ TAMPA 2,2LTS CX-06;NADIR FIGUEIRED;235,800000;CX/06;GD16534251N;8,832000;7013.49.00;049932653489;488,000000
00403;ASSADEIRA OVAL C/ TAMPA 1,6LTS CX-06;NADIR FIGUEIRED;131,580000;CX/06;GD16343251N;4,968000;7013.49.00;049932634327;1.104,000000
00404;ASSADEIRA OVAL PEQUENO C/ TAMPA  2,4LTS CX-06;NADIR FIGUEIRED;223,080000;CX/06;GD16345259N;6,762000;7013.49.00;049932634525;777,000000
00405;ASSADEIRA OVAL MEDIA C/ TAMPA 3,2LTS CX-06;NADIR FIGUEIRED;268,620000;CX/06;GD16662253N;9,450000;7013.49.00;049932666281;126,000000
00406;ASSADEIRA REDONDA C/TAMPA 2,4LTS CX-06;NADIR FIGUEIRED;218,220000;CX/06;GD16495257N;6,828000;7013.49.00;049932649581;578,000000
00408;JG. C/6 PRATOS FUNDOS DURALEX ASTRAL;NADIR FIGUEIRED;34,880000;CJ;SM400000854;,322000;7013.49.00;7894993986808;250,000000
00409;PRATO DURALEX ASTRAL RASO 22,6CM CX-24;NADIR FIGUEIRED;97,440000;CX/24;SM400000200;8,592000;7013.49.00;7894993000238;1.825,000000
00410;PRATO DURALEX ASTRAL FUNDO 22,6CM CX-24;NADIR FIGUEIRED;97,440000;CX/24;SM400000800;8,880000;7013.49.00;7894993000832;50.815,000000
00411;PRATO DURALEX ASTRAL SOBREMESA 19CM CX-24;NADIR FIGUEIRED;101,520000;CX/24;SM400000600;5,448000;7013.49.00;7894993000634;2.068,000000
00412;PRATO DURALEX ASTRAL GOURMET RASO 26CM CX-24;NADIR FIGUEIRED;189,600000;CX/24;SM400000300;14,304000;7013.49.00;7894993000337;12,000000
00413;XICARA CHA S/ PIRES DURALEX ASTRAL 246ML CX-24;NADIR FIGUEIRED;106,800000;CX/24;SM400010400;4,368000;7013.49.00;7894993011418;2.952,000000
00415;XICARA CAFE S/ PIRES DURALEX ASTRAL 90ML CX-24;NADIR FIGUEIRED;100,800000;CX/24;SM400010200;2,016000;7013.49.00;7894993010244;3.264,000000
00429;TIGELA PLUS C/ TAMPA ASTRAL 3LTS CX-06;NADIR FIGUEIRED;132,660000;CX/06;SM400030833N;6,906000;7013.49.00;7894993991000;1.194,000000
00450;COPO OLD FASHIONED BRAHMA 215ML CX-24;CISPER;101,586700;CX/24;TW1504-30 - 10028228;4,320000;7013.37.00;7891017005330;24.521,000000
00451;COPO CALDERETA BRAHMA 350ML CX-12;CISPER;69,121800;CX/12;TW1506-40 - 10028225;2,868000;7013.37.00;7891017005736;11.881,000000
00452;COPO CONTOUR COCA-COLA GEORGIA GREEN 473ML CX-12;CISPER;55,680000;CX/12;TW450-40 - 10028033;3,804000;7013.37.00;7891017006672;5.532,000000
00456;COPO CONTOUR COCA-COLA CRISTAL 473ML CX-12;CISPER;55,680000;CX/12;TW455-40 - 10028027;3,804000;7013.37.00;7891017014189;7.764,000000
00490;JARRA FRUTTI CRISTAL 1,5 LTS. CX-06;CIV;47,940000;CX/06;TW120-50 - 10029093;5,256000;7013.42.90;7891017009505;5.070,000000
00551;ESCUMADEIRA ACO INOX 25CM;SIMONAGGIO;2,400000;UN;1735;,042000;8215.99.10;7896211817352;1.810,000000
00552;COLHER DE ARROZ ACO INOX 24,5CM;SIMONAGGIO;2,400000;UN;1731;,044000;8215.99.10;7896211817314;4.263,000000
00553;CONCHA ACO INOX 21CM;SIMONAGGIO;3,700000;UN;1733;,047000;8215.99.10;7896211817338;927,000000
00554;COLHER MESA INOX 19CM DUZIA;SIMONAGGIO;10,560000;DZ;1711/12;,279000;8215.99.10;7896211817178;508,000000
00555;GARFO MESA INOX 19CM DUZIA;SIMONAGGIO;10,960000;DZ;1712/12;,266000;8215.99.10;7896211817123;194,000000
00557;CONJ C/3 COLHERES INOX 19CM;SIMONAGGIO;3,260000;UN;171/3;,074000;8215.99.10;7896211817130;1.432,000000
00558;CONJ C/3 GARFOS INOX 19CM;SIMONAGGIO;3,310000;UN;172/3;,072000;8215.99.10;7896211817239;1.386,000000
00566;CONJ C/3 COLHERES INOX CABO MADEIRA;SIMONAGGIO;6,490000;UN;401/3;,120000;8215.99.10;7896211840138;852,000000
00567;CONJ C/3 FACAS INOX CABO MADEIRA;SIMONAGGIO;6,190000;UN;404/3;,083000;8211.91.00;7896211840435;1.131,000000
00568;CONJ C/3 GARFOS INOX CABO MADEIRA;SIMONAGGIO;5,450000;UN;402/3;,090000;8215.99.10;7896211840237;1.242,000000
00602;CONJ C/6 COLHERES CAFE INOX;SIMONAGGIO;3,200000;UN;1701/6;,060000;8215.99.10;7896211817017;1.518,000000
00603;FACA INOX CABO BRANCO S/M COZINHA 7;SIMONAGGIO;4,690000;UN;1315/7;,086000;8211.92.10;7896211813149;474,000000
00604;FACA INOX CABO BRANCO S/M COZINHA 8;SIMONAGGIO;4,790000;UN;1315/8;,092000;8211.92.10;7896211813156;418,000000
00605;FACA INOX CABO PRETO S/M COZINHA 7;SIMONAGGIO;4,690000;UN;1305/7;,088000;8211.92.10;7896211813040;484,000000
00606;FACA INOX CABO PRETO S/M COZINHA 8;SIMONAGGIO;4,790000;UN;1305/8;,094000;8211.92.10;7896211813057;182,000000
00608;FACA PEIXEIRA S/M 32CM;SIMONAGGIO;4,930000;UN;1204;,090000;8211.92.10;7896211812043;580,000000
